iter	Passed	Remaining
0	55	55430
1	55	27867
2	56	18638
3	56	14020
4	56	11247
5	56	9400
6	56	8079
7	57	7092
8	57	6368
9	58	5748
10	58	5240
11	58	4815
12	58	4456
13	58	4149
14	59	3883
15	59	3650
16	59	3444
17	59	3260
18	59	3097
19	60	2949
20	60	2816
21	60	2695
22	60	2585
23	61	2483
24	61	2390
25	61	2304
26	61	2224
27	61	2150
28	62	2081
29	62	2018
30	62	1957
31	62	1900
32	63	1847
33	63	1797
34	63	1752
35	63	1706
36	63	1665
37	64	1624
38	64	1585
39	64	1548
40	64	1514
41	64	1481
42	65	1449
43	65	1418
44	65	1390
45	65	1362
46	65	1336
47	66	1311
48	66	1287
49	66	1263
50	66	1241
51	66	1219
52	67	1199
53	67	1180
54	67	1160
55	67	1143
56	68	1126
57	68	1110
58	68	1093
59	68	1077
60	68	1061
61	69	1046
62	69	1032
63	69	1018
64	69	1005
65	70	992
66	70	980
67	70	966
68	70	953
69	70	942
70	71	930
71	71	919
72	71	908
73	71	898
74	71	887
75	72	877
76	72	868
77	72	859
78	72	849
79	73	840
80	73	831
81	73	822
82	73	814
83	73	806
84	74	796
85	74	788
86	74	779
87	74	771
88	74	764
89	74	758
90	75	750
91	75	743
92	75	737
93	75	731
94	76	724
95	76	718
96	76	712
97	76	706
98	77	701
99	77	695
100	77	689
101	77	682
102	77	677
103	77	671
104	78	666
105	78	661
106	78	656
107	78	651
108	79	646
109	79	641
110	79	636
111	79	632
112	79	627
113	80	622
114	80	618
115	80	613
116	80	609
117	80	604
118	81	600
119	81	596
120	81	592
121	81	588
122	81	584
123	82	580
124	82	577
125	82	573
126	82	569
127	83	565
128	83	562
129	83	559
130	83	555
131	84	552
132	84	549
133	84	545
134	84	542
135	84	539
136	85	536
137	85	532
138	85	529
139	85	526
140	85	523
141	86	520
142	86	517
143	86	514
144	86	511
145	86	508
146	87	505
147	87	502
148	87	500
149	87	497
150	87	494
151	88	492
152	88	490
153	88	487
154	88	484
155	89	482
156	89	479
157	89	477
158	89	474
159	90	472
160	90	470
161	90	467
162	90	465
163	90	463
164	91	461
165	91	458
166	91	456
167	91	454
168	91	451
169	92	449
170	92	447
171	92	445
172	92	443
173	93	441
174	93	439
175	93	437
176	93	435
177	93	433
178	93	430
179	94	429
180	94	426
181	94	424
182	94	422
183	94	420
184	95	419
185	95	417
186	95	415
187	95	413
188	96	411
189	96	410
190	96	408
191	96	407
192	96	405
193	97	403
194	97	402
195	97	400
196	98	399
197	98	397
198	98	395
199	98	394
200	98	392
201	99	391
202	99	389
203	99	388
204	99	386
205	99	384
206	100	383
207	100	381
208	100	380
209	100	379
210	100	377
211	101	376
212	101	374
213	101	373
214	101	371
215	102	370
216	102	368
217	102	367
218	102	366
219	102	364
220	103	363
221	103	361
222	103	360
223	103	359
224	103	358
225	104	356
226	104	355
227	104	354
228	104	352
229	105	351
230	105	350
231	105	348
232	105	347
233	105	346
234	106	345
235	106	343
236	106	342
237	106	341
238	106	340
239	107	341
240	107	340
241	108	338
242	108	337
243	108	336
244	108	335
245	108	334
246	109	332
247	109	331
248	109	330
249	109	329
250	110	328
251	110	327
252	110	326
253	110	325
254	110	324
255	111	322
256	111	321
257	111	320
258	111	320
259	112	319
260	112	318
261	112	317
262	112	315
263	112	314
264	113	313
265	113	312
266	113	311
267	113	310
268	114	309
269	114	308
270	114	307
271	114	306
272	114	305
273	115	304
274	115	303
275	115	302
276	115	301
277	115	300
278	116	299
279	116	298
280	116	297
281	116	296
282	116	295
283	117	295
284	117	294
285	117	293
286	117	292
287	117	291
288	118	290
289	118	289
290	118	288
291	118	288
292	119	287
293	119	286
294	119	285
295	119	284
296	119	283
297	119	282
298	120	281
299	120	280
300	120	280
301	120	279
302	121	278
303	121	277
304	121	276
305	121	275
306	121	275
307	122	274
308	122	273
309	122	272
310	122	271
311	122	270
312	123	270
313	123	269
314	123	268
315	123	267
316	124	268
317	124	267
318	125	266
319	125	266
320	125	265
321	125	264
322	125	264
323	126	263
324	126	262
325	126	261
326	126	260
327	126	260
328	127	259
329	127	258
330	127	258
331	128	257
332	128	257
333	128	256
334	128	255
335	128	254
336	129	254
337	129	253
338	129	252
339	129	251
340	129	251
341	130	250
342	130	249
343	130	249
344	130	248
345	131	247
346	131	247
347	131	246
348	131	245
349	131	244
350	132	244
351	132	243
352	132	242
353	132	242
354	132	241
355	133	240
356	133	240
357	133	239
358	133	238
359	133	238
360	134	237
361	134	236
362	134	236
363	134	235
364	135	235
365	135	234
366	135	234
367	136	234
368	136	234
369	137	233
370	137	232
371	137	232
372	137	231
373	137	230
374	138	230
375	138	229
376	138	229
377	138	228
378	139	227
379	139	227
380	139	226
381	139	225
382	139	225
383	140	225
384	141	225
385	141	224
386	141	224
387	141	223
388	142	223
389	142	222
390	142	221
391	142	221
392	143	220
393	143	220
394	143	219
395	143	219
396	143	218
397	144	217
398	144	217
399	144	216
400	144	216
401	144	215
402	145	214
403	145	214
404	145	213
405	145	213
406	146	213
407	146	213
408	147	212
409	147	211
410	147	211
411	147	210
412	147	210
413	148	209
414	148	208
415	148	208
416	148	207
417	148	207
418	149	206
419	149	206
420	149	205
421	149	205
422	149	204
423	150	203
424	150	203
425	150	202
426	150	202
427	150	201
428	151	201
429	151	200
430	151	200
431	151	199
432	151	198
433	152	198
434	152	198
435	152	197
436	152	196
437	153	196
438	153	195
439	153	195
440	153	194
441	153	194
442	154	193
443	154	193
444	154	192
445	154	192
446	155	191
447	155	191
448	155	190
449	155	190
450	155	189
451	156	189
452	156	188
453	156	188
454	156	187
455	156	187
456	157	186
457	157	186
458	157	185
459	157	185
460	157	184
461	158	184
462	158	183
463	158	183
464	158	182
465	159	182
466	159	181
467	159	181
468	159	180
469	160	180
470	160	179
471	160	179
472	160	179
473	160	178
474	161	178
475	161	177
476	161	177
477	161	176
478	161	176
479	162	175
480	162	175
481	162	174
482	162	174
483	162	173
484	163	173
485	163	172
486	163	172
487	163	171
488	163	171
489	164	170
490	164	170
491	164	169
492	164	169
493	165	169
494	165	168
495	165	168
496	165	167
497	165	167
498	166	166
499	166	166
500	166	165
501	166	165
502	166	164
503	167	164
504	167	163
505	167	163
506	167	163
507	167	162
508	168	162
509	168	161
510	168	161
511	168	160
512	168	160
513	169	159
514	169	159
515	169	159
516	169	158
517	169	158
518	170	157
519	170	157
520	170	156
521	170	156
522	170	155
523	171	155
524	171	154
525	171	154
526	171	154
527	171	153
528	172	153
529	172	152
530	172	152
531	172	151
532	172	151
533	173	151
534	173	150
535	173	150
536	173	149
537	173	149
538	174	148
539	174	148
540	174	148
541	174	147
542	175	147
543	175	146
544	175	146
545	175	146
546	175	145
547	176	145
548	176	144
549	176	144
550	176	143
551	176	143
552	177	143
553	177	142
554	177	142
555	177	141
556	177	141
557	178	141
558	178	140
559	178	140
560	178	139
561	178	139
562	179	139
563	179	138
564	179	138
565	179	138
566	180	137
567	180	137
568	180	136
569	180	136
570	180	135
571	181	135
572	181	135
573	181	134
574	181	134
575	182	133
576	182	133
577	182	133
578	182	132
579	182	132
580	183	132
581	183	131
582	183	131
583	183	130
584	184	130
585	184	130
586	184	129
587	184	129
588	184	129
589	185	128
590	185	128
591	185	127
592	185	127
593	185	127
594	186	126
595	186	126
596	186	125
597	186	125
598	186	125
599	187	124
600	187	124
601	187	124
602	187	123
603	188	123
604	188	122
605	188	122
606	188	122
607	188	121
608	189	121
609	189	121
610	189	120
611	189	120
612	190	120
613	190	119
614	190	119
615	190	118
616	190	118
617	191	118
618	191	117
619	191	117
620	191	117
621	191	116
622	192	116
623	192	115
624	192	115
625	192	115
626	192	114
627	193	114
628	193	114
629	193	113
630	193	113
631	194	113
632	194	112
633	194	112
634	194	111
635	195	111
636	195	111
637	196	111
638	196	110
639	196	110
640	196	110
641	196	109
642	197	109
643	197	109
644	197	108
645	197	108
646	198	108
647	198	107
648	198	107
649	198	107
650	198	106
651	199	106
652	199	105
653	199	105
654	199	105
655	200	104
656	200	104
657	200	104
658	200	103
659	201	103
660	201	103
661	201	102
662	201	102
663	201	102
664	202	101
665	202	101
666	202	101
667	202	100
668	202	100
669	203	100
670	203	99
671	203	99
672	203	98
673	203	98
674	204	98
675	204	98
676	204	97
677	204	97
678	205	96
679	205	96
680	205	96
681	205	96
682	206	95
683	206	95
684	206	95
685	206	94
686	207	94
687	207	94
688	207	93
689	207	93
690	207	92
691	208	92
692	208	92
693	209	92
694	209	91
695	209	91
696	209	91
697	209	90
698	210	90
699	210	90
700	210	89
701	210	89
702	211	89
703	211	88
704	211	88
705	211	88
706	211	87
707	212	87
708	212	87
709	212	86
710	212	86
711	212	86
712	213	85
713	213	85
714	213	85
715	213	84
716	213	84
717	214	84
718	214	83
719	215	83
720	215	83
721	215	83
722	215	82
723	216	82
724	216	82
725	216	81
